㑳	亻勹艸勹艸
㑴	亻彐冖巾又
㑵	亻疒矢
㑶	亻气米
㑷	亻厶⺝匕匕
㑸	亻十口可
㑹	亼由曰
㑺	亻隹乃
㑻	亻宀心丿山
㑼	亻田夂口
㑽	亻尚土
㑾	亻丶言
㑿	亻巛田木
㒀	亻六冂十口
㒁	亻囗土⺷
㒂	亻艹耂日
㒃	亻弋二貝
㒄	亻丶犬灬
㒅	亻衣夕夕
㒆	亻亼口羽
㒇	亻𠂉卌一灬
㒈	亻工耳攵
㒉	亻尚木
㒊	亻刀丶止刀丶止
㒋	亻甘ㅈ斤
㒌	亻火火冖几
㒍	亻厶厶厶糸
㒎	亻一大非
㒏	亻宀井ㅈ゛
㒐	亻⺮勹日
㒑	亻匚氵隹
㒒	亻业䒑未
㒓	亻土羊辶
㒔	亻罒勹虫
㒕	亻亠乡隹
㒖	亻艹田⽱
㒗	亻甘冖𠫔土
㒘	亻臣又立
㒙	亻糹白巾
㒚	亻爫工彐心
㒛	亻羽隹
㒜	亻⺽一ㄅ丨ㅈ
㒝	亻艹罒戊丶
㒞	亻山隹冂
㒟	亻衣馬
㒠	亻歺又韭
㒡	亻爫缶丿糸
㒢	亻龠
㒣	亻广亻隹心
㒤	亻耳耳耳
㒥	亻山丰丰豆
㒦	亻田田田土
㒧	亻亠㐅凵禸隹
㒨	亻⺽囟大巳
㒩	亻彑豕虫虫
㒪	人臣臣止豕
㒫	ㅌ儿
㒬	二儿王
㒭	口儿口儿
㒮	二儿豕
㒯	光艹一艹𰀁
㒰	入工
㒱	入夕
㒲	入日
㒳	两
㒴	入屮凵
㒵	白八
㒶	八白
㒷	冂人ㅈ
㒸	丷豕
㒹	十目ㅈ十目ㅈ
㒺	冂䒑人㇗
㒻	⺜見
㒼	廿㒳
㒽	⺜丷夫⺋
㒾	⺜方𠂉也
㒿	⺜亠㐅凵禸隹
㓀	冖卜
㓁	㓁
㓂	冖二儿女
㓃	冖言丿七
㓄	厶厶厶人彡冖儿
㓅	冫丁
㓆	冫人匕
㓇	冫丿大
㓈	冫石
㓉	冫舌
㓊	冫冂一口
㓋	冫艹ㅈ
㓌	冫人王
㓍	冫云儿
㓎	冫彐冖又
㓏	冫㓁口
㓐	冫土八土
㓑	冫土⺷
㓒	冫七人⺗
㓓	冫十冂⺷
㓔	冫身寸
㓕	冫戊一火
㓖	冫田艹𰀁
㓗	冫丰刀糸
㓘	几歹玉
㓙	文凵
㓚	工刂
㓛	工刀
㓜	幺刀
㓝	井刂
㓞	丰刀
㓟	皮刂
㓠	⺊口刂
㓡	缶刂
㓢	夂口刂
㓣	亼口刂
㓤	士口刂
㓥	⺌彐刂
㓦	一白刂
㓧	亽ヿ口刂
㓨	大人人刂
㓩	角刂
㓪	丶艮刀
㓫	大一廾刂
㓬	丷夫刀刂
㓭	曰勹人㇗刂
㓮	⺆土口刂
㓯	巛田刂
㓰	一田凵刂
㓱	亼⺝刂刂
㓲	户冊刂
㓳	日疋刂
㓴	而大刂
㓵	口口二ㄅ刂
㓶	丰刀大刂
㓷	自木刂
㓸	业刂
㓹	厂火火刂
㓺	虍文刂
㓻	罒一止刂
㓼	木人氺刂
㓽	山宀示刂
㓾	尸氺牛刂
㓿	禾人氺刂
㔀	日高小刂
㔁	癶豆刂
㔂	米舛刂
㔃	糹⺈巴刀
㔄	覀米刂
㔅	肀片爿一刂
㔆	旡旡曰刂
㔇	癶弓殳刂
㔈	艹非刂
㔉	尸丿口⽱刂
㔊	㐭日一刂
㔋	臣⺮皿刂
㔌	耳又丿水刂
㔍	⺮目廾刂
㔎	艸㠯辛刀
㔏	石石石刂
㔐	⺮一韭刂
㔑	艹㠯辛刀
㔒	山隹㓁口刂
㔓	千力
㔔	力口〇
㔕	气力
㔖	力口ヿ
㔗	弓〢力
㔘	屮凵力
㔙	䒑廾力
㔚	舌力
㔛	士口力
㔜	爫子力
㔝	兩力
㔞	千北力
㔟	生丸力
㔠	曰勹人㇗力
㔡	囟匕匕力
㔢	糹⺈巴力
㔣	田田田力
㔤	宀釆田力
㔥	罒厶⺝匕匕力
㔦	⺶㇏丶艮力
㔧	虍田皿力
㔨	勹北⺝
㔩	勹土厶皿
㔪	勹鹵
㔫	キ匕
㔬	匕日十
㔭	匕日疋
㔮	廿口夫厶⺝匕匕
㔯	匚几口
㔰	匚夕卜
㔱	匚臼人
㔲	匚飠九
㔳	匚飠几
㔴	匚田艹ㅈ
㔵	匚巳巳艹ㅈ
㔶	匚音十夂工貝
㔷	匸一冂人
㔸	匸⺁虎
